Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,127.430000,127.900002,126.800003,127.260002,124.544189,957800
2020-01-02,128.610001,129.500000,127.190002,128.539993,125.796867,2247900
2020-01-03,126.230003,128.279999,126.120003,127.300003,124.583328,1546100
2020-01-06,125.400002,126.989998,124.680000,126.400002,123.702538,2157900
2020-01-07,127.500000,129.779999,127.000000,128.039993,125.307533,2595500
2020-01-08,128.210007,129.110001,127.129997,128.360001,125.620712,1589100
2020-01-09,129.800003,130.949997,128.690002,129.179993,126.423195,2429600
2020-01-10,130.110001,130.830002,129.179993,129.639999,126.873390,2294000
2020-01-13,131.000000,132.509995,130.149994,131.979996,129.163467,2313900
2020-01-14,131.399994,133.679993,131.289993,132.710007,129.877869,2499200
2020-01-15,132.449997,132.910004,131.559998,132.500000,129.672363,2206200
2020-01-16,133.979996,134.960007,132.800003,134.179993,131.316513,2495100
2020-01-17,134.990005,135.479996,132.470001,133.839996,130.983749,2268300
2020-01-21,133.399994,134.449997,132.690002,133.960007,131.101212,2018200
2020-01-22,134.520004,136.300003,133.479996,134.639999,131.766693,2422000
2020-01-23,134.889999,137.220001,134.850006,136.410004,133.498932,2534100
2020-01-24,137.490005,137.919998,134.550003,135.279999,132.393036,2887600
2020-01-27,131.559998,131.729996,128.059998,130.449997,127.666100,3781200
2020-01-28,132.500000,133.649994,131.240005,132.679993,129.848480,2207500
2020-01-29,133.050003,134.770004,131.740005,132.660004,129.828949,2273000
2020-01-30,130.809998,132.009995,128.850006,131.619995,128.811142,2039700
2020-01-31,130.020004,130.970001,126.050003,126.860001,124.152718,4448500
2020-02-03,127.690002,129.029999,125.010002,125.699997,123.017471,4205200
2020-02-04,133.000000,134.500000,127.750000,130.509995,127.724823,5560000
2020-02-05,133.399994,136.839996,132.429993,134.229996,131.365417,4386700
2020-02-06,135.369995,135.750000,133.050003,135.339996,132.451767,2082800
2020-02-07,134.490005,134.860001,132.000000,132.259995,129.437469,2522400
2020-02-10,130.750000,133.309998,130.460007,133.190002,130.347626,1769600
2020-02-11,134.130005,137.160004,133.789993,135.520004,132.627930,2407000
2020-02-12,136.580002,138.429993,136.149994,137.830002,134.888596,2592900
2020-02-13,136.869995,139.259995,135.979996,138.690002,135.730255,1426200
2020-02-14,138.880005,139.589996,134.690002,137.080002,134.154602,1846700
