Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,61.540001,62.070000,61.470001,62.020000,60.421104,2035800
2020-01-02,62.290001,62.459999,61.680000,61.919998,60.323685,2234500
2020-01-03,61.080002,61.540001,60.889999,61.360001,59.778126,2535700
2020-01-06,61.040001,61.299999,60.349998,60.750000,59.183846,3017000
2020-01-07,60.669998,60.689999,59.980000,60.320000,58.764931,2952900
2020-01-08,60.410000,60.860001,60.220001,60.730000,59.164364,2912100
2020-01-09,61.500000,61.990002,60.750000,61.110001,59.534565,4049000
2020-01-10,61.380001,61.380001,60.450001,60.639999,59.076683,2538300
2020-01-13,60.490002,61.270000,60.209999,61.160000,59.583279,2787200
2020-01-14,61.090000,61.709999,60.970001,61.369999,59.787861,3066800
2020-01-15,61.419998,62.000000,61.419998,61.849998,60.255486,2613400
2020-01-16,62.020000,62.560001,61.860001,62.450001,60.840023,3048700
2020-01-17,62.560001,62.930000,62.320000,62.770000,61.151772,4046000
2020-01-21,62.400002,62.730000,61.939999,62.290001,60.684147,3823600
2020-01-22,62.599998,62.919998,61.830002,62.189999,60.586723,3534500
2020-01-23,62.020000,62.580002,61.849998,62.549999,60.937439,3048100
2020-01-24,62.779999,63.150002,61.990002,62.419998,60.810787,2631200
2020-01-27,61.830002,62.090000,61.290001,61.770000,60.177547,3309800
2020-01-28,61.959999,62.880001,61.570000,62.599998,60.986156,2683100
2020-01-29,62.840000,63.380001,62.590000,62.919998,61.297905,3415800
2020-01-30,62.169998,62.520000,61.299999,62.470001,60.859509,2428900
2020-01-31,62.230000,62.340000,60.849998,61.380001,59.797600,3340700
2020-02-03,61.849998,62.910000,61.570000,62.610001,60.995899,3646700
2020-02-04,63.349998,63.900002,63.000000,63.430000,61.794758,2793100
2020-02-05,64.589996,65.169998,64.230003,64.970001,63.295052,3815400
2020-02-06,67.050003,71.480003,66.970001,71.419998,69.578766,7789900
2020-02-07,70.580002,70.989998,68.550003,69.589996,67.795952,7927100
2020-02-10,68.889999,69.470001,68.589996,69.379997,67.591362,3077000
2020-02-11,69.459999,69.459999,68.760002,69.199997,67.416008,3036000
2020-02-12,69.529999,69.669998,69.050003,69.430000,67.640068,2629700
2020-02-13,69.260002,69.699997,68.959999,69.610001,67.815430,2827000
2020-02-14,69.269997,69.410004,67.800003,68.419998,66.867432,4148300
2020-02-18,68.339996,69.220001,68.040001,68.830002,67.268143,3218200
2020-02-19,68.370003,69.239998,67.910004,68.879997,67.317001,3612800
2020-02-20,68.559998,69.739998,68.180000,69.559998,67.981575,3641300
2020-02-21,69.129997,70.290001,68.800003,70.089996,68.499550,4787100
2020-02-24,68.919998,69.879997,67.389999,67.419998,65.890152,4557300
2020-02-25,67.559998,68.000000,64.330002,64.480003,63.016850,4976800
2020-02-26,65.110001,65.889999,63.259998,63.279999,61.844070,5205300
2020-02-27,62.250000,63.849998,61.299999,62.320000,60.905857,5326600
2020-02-28,60.590000,61.650002,59.459999,60.930000,59.547409,7873500
2020-03-02,60.599998,61.349998,58.820000,61.330002,59.938332,5676800
2020-03-03,60.919998,62.880001,58.869999,59.610001,58.257359,5117800
2020-03-04,60.759998,62.189999,59.349998,62.169998,60.759266,3244200
2020-03-05,60.470001,61.259998,59.349998,59.930000,58.570095,3893000
2020-03-06,57.750000,58.849998,57.009998,58.240002,56.918449,5364400
2020-03-09,55.060001,55.970001,53.459999,53.959999,52.735565,7526000
2020-03-10,55.590000,56.220001,52.919998,55.779999,54.514267,6703100
2020-03-11,54.139999,55.369999,52.419998,53.139999,51.934166,6122600
2020-03-12,49.689999,52.230000,47.750000,48.980000,47.868568,7701700
2020-03-13,51.610001,52.700001,48.689999,52.619999,51.425968,5853600
