Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,55.049999,55.139999,54.759998,55.080002,52.981369,5039500
2020-01-02,55.060001,55.349998,54.110001,54.330002,52.259941,7272900
2020-01-03,54.000000,54.570000,53.959999,54.240002,52.173370,6791700
2020-01-06,54.389999,54.480000,53.849998,54.150002,52.086803,5906400
2020-01-07,54.049999,54.080002,53.570000,53.919998,51.865562,6716300
2020-01-08,54.029999,54.419998,53.910000,54.049999,51.990612,5435400
2020-01-09,54.090000,54.380001,53.930000,54.189999,52.125278,5653900
2020-01-10,54.470001,54.480000,54.139999,54.250000,52.182991,4639000
2020-01-13,54.360001,54.610001,54.320000,54.590000,52.510036,7528600
2020-01-14,54.630001,54.669998,54.040001,54.189999,52.125278,5984200
2020-01-15,54.529999,54.980000,54.310001,54.740002,52.654324,5681700
2020-01-16,54.830002,55.340000,54.790001,55.189999,53.087177,5481700
2020-01-17,55.139999,55.380001,55.020000,55.160000,53.058315,9336300
2020-01-21,54.959999,55.840000,54.840000,55.540001,53.423840,9152600
2020-01-22,55.740002,55.939999,55.439999,55.470001,53.356506,4505300
2020-01-23,55.349998,55.650002,55.099998,55.439999,53.327648,6536600
2020-01-24,55.529999,55.740002,54.860001,55.090000,52.990986,5916400
2020-01-27,54.869999,55.150002,54.590000,54.689999,52.606228,5602900
2020-01-28,54.560001,55.130001,54.560001,54.849998,52.760128,7426100
2020-01-29,54.880001,55.000000,54.500000,54.560001,52.481178,5570500
2020-01-30,56.020000,58.930000,55.860001,58.799999,56.559628,18286100
2020-01-31,58.470001,59.430000,57.160000,57.380001,55.193733,14070000
2020-02-03,57.790001,57.840000,57.130001,57.549999,55.357254,7686400
2020-02-04,57.910000,58.000000,57.320000,57.430000,55.241829,7231700
2020-02-05,57.759998,58.180000,57.520000,57.919998,55.713158,7629300
2020-02-06,57.529999,58.520000,57.500000,58.419998,56.194107,5181000
2020-02-07,58.480000,59.220001,58.369999,58.660000,56.424957,5942000
2020-02-10,58.470001,59.110001,58.400002,58.970001,56.723152,5561900
2020-02-11,59.020000,59.160000,58.720001,58.869999,56.626957,4446600
